,minutes_watched,clv,clv_wins,region,channel
805,856.0,218.0,218.0,Rest_of_the_world,LinkedIn
806,70.0,75.2,75.2,Rest_of_the_world,LinkedIn
807,709.0,119.0,119.0,Rest_of_the_world,YouTube
808,12.0,78.88,78.88,Rest_of_the_world,LinkedIn
809,2898.0,90.0,90.0,Rest_of_the_world,LinkedIn
810,1903.0,63.63,63.63,Rest_of_the_world,Friend
811,10302.0,62.58,62.58,Rest_of_the_world,LinkedIn
812,89.0,119.0,119.0,Rest_of_the_world,LinkedIn
813,474.0,119.0,119.0,Rest_of_the_world,LinkedIn
814,275.0,62.58,62.58,Rest_of_the_world,Instagram
815,137.0,36.0,36.0,Rest_of_the_world,LinkedIn
816,886.0,62.58,62.58,Rest_of_the_world,YouTube
817,2640.0,129.78,129.78,Rest_of_the_world,LinkedIn
818,354.0,163.37,163.37,USA/Canada/As,Google
819,699.0,206.18,206.18,West_EU,Google
820,417.0,151.0,151.0,USA/Canada/As,YouTube
821,1038.0,14.25,14.25,Rest_of_the_world,YouTube
822,5704.0,62.58,62.58,Rest_of_the_world,YouTube
823,135.0,141.23,141.23,West_EU,Friend
824,0.0,119.0,119.0,Rest_of_the_world,Facebook
825,6802.0,36.0,36.0,USA/Canada/As,LinkedIn
826,3806.0,142.03,142.03,West_EU,Friend
827,1434.0,119.05,119.05,USA/Canada/As,YouTube
828,808.0,62.58,62.58,Rest_of_the_world,Google
