minutes_watched,CLV,region,channel,CLV_wins,Region,Channel
679.0,36.0,0,2,36.0,USA/Canada/As,Facebook
875.0,118.48,0,2,118.48,USA/Canada/As,Facebook
162.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
469.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
185.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
681.0,62.58,2,5,62.58,Rest_of_the_world,Twitter
55.0,138.0,0,7,138.0,USA/Canada/As,Friend
6607.0,36.0,2,7,36.0,Rest_of_the_world,Friend
1321.0,67.46,2,4,67.46,Rest_of_the_world,LinkedIn
475.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
1587.0,144.36,1,4,144.36,West_EU,LinkedIn
35.0,119.0,0,3,119.0,USA/Canada/As,YouTube
555.0,119.0,0,2,119.0,USA/Canada/As,Facebook
405.0,19.0,2,2,19.0,Rest_of_the_world,Facebook
341.0,62.22,2,4,62.22,Rest_of_the_world,LinkedIn
606.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
250.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
3517.0,36.0,2,7,36.0,Rest_of_the_world,Friend
1758.0,119.11,0,2,119.11,USA/Canada/As,Facebook
995.0,64.8,2,8,64.8,Rest_of_the_world,Other
71.0,118.84,0,4,118.84,USA/Canada/As,LinkedIn
0.0,119.0,0,2,119.0,USA/Canada/As,Facebook
332.0,19.0,2,6,19.0,Rest_of_the_world,Instagram
310.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
1158.0,19.0,2,4,19.0,Rest_of_the_world,LinkedIn
1437.0,118.58,0,2,118.58,USA/Canada/As,Facebook
176.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
14528.0,172.33,2,2,172.33,Rest_of_the_world,Facebook
196.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
37.0,143.0,2,3,143.0,Rest_of_the_world,YouTube
3553.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
2783.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
3306.0,64.8,0,6,64.8,USA/Canada/As,Instagram
726.0,62.58,2,7,62.58,Rest_of_the_world,Friend
1435.0,147.0,0,4,147.0,USA/Canada/As,LinkedIn
5777.0,14.25,0,4,14.25,USA/Canada/As,LinkedIn
265.0,142.88,1,3,142.88,West_EU,YouTube
7568.0,64.8,0,4,64.8,USA/Canada/As,LinkedIn
104.0,35.0,1,3,35.0,West_EU,YouTube
25903.0,79.42,2,1,79.42,Rest_of_the_world,Google
4.0,147.11,2,3,147.11,Rest_of_the_world,YouTube
1540.0,129.6,0,6,129.6,USA/Canada/As,Instagram
947.0,14.25,2,2,14.25,Rest_of_the_world,Facebook
591.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
531.0,178.59,1,2,178.59,West_EU,Facebook
11.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
352.0,119.39,0,3,119.39,USA/Canada/As,YouTube
54761.0,120.59,2,3,120.59,Rest_of_the_world,YouTube
1565.0,145.21,1,1,145.21,West_EU,Google
1161.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
5330.0,34.2,2,2,34.2,Rest_of_the_world,Facebook
205.0,77.3,2,4,77.3,Rest_of_the_world,LinkedIn
5292.0,25.65,2,2,25.65,Rest_of_the_world,Facebook
1278.0,62.58,2,7,62.58,Rest_of_the_world,Friend
191.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
993.0,146.37,1,4,146.37,West_EU,LinkedIn
523.0,119.0,0,3,119.0,USA/Canada/As,YouTube
20.0,119.0,0,2,119.0,USA/Canada/As,Facebook
35.0,119.0,0,8,119.0,USA/Canada/As,Other
214.0,119.0,0,7,119.0,USA/Canada/As,Friend
105.0,8.0,2,2,8.0,Rest_of_the_world,Facebook
574.0,62.58,2,7,62.58,Rest_of_the_world,Friend
6.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
45.0,146.2,1,3,146.2,West_EU,YouTube
227.0,130.0,0,8,130.0,USA/Canada/As,Other
2288.0,142.82,2,4,142.82,Rest_of_the_world,LinkedIn
298.0,119.0,2,2,119.0,Rest_of_the_world,Facebook
564.0,138.0,2,2,138.0,Rest_of_the_world,Facebook
99.0,118.68,2,7,118.68,Rest_of_the_world,Friend
3999.0,143.0,2,1,143.0,Rest_of_the_world,Google
765.0,119.0,0,7,119.0,USA/Canada/As,Friend
6655.0,119.0,2,7,119.0,Rest_of_the_world,Friend
950.0,22.61,2,4,22.61,Rest_of_the_world,LinkedIn
437.0,119.36,0,3,119.36,USA/Canada/As,YouTube
113.0,62.58,2,3,62.58,Rest_of_the_world,YouTube
3191.0,62.57,2,7,62.57,Rest_of_the_world,Friend
5889.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
1055.0,119.0,0,3,119.0,USA/Canada/As,YouTube
433.0,14.25,2,5,14.25,Rest_of_the_world,Twitter
690.0,119.0,2,4,119.0,Rest_of_the_world,LinkedIn
192.0,119.0,2,8,119.0,Rest_of_the_world,Other
4.0,155.96,0,6,155.96,USA/Canada/As,Instagram
2865.0,62.58,2,7,62.58,Rest_of_the_world,Friend
3602.0,19.0,2,3,19.0,Rest_of_the_world,YouTube
238.0,19.0,2,7,19.0,Rest_of_the_world,Friend
687.0,62.58,2,7,62.58,Rest_of_the_world,Friend
1364.0,62.58,2,2,62.58,Rest_of_the_world,Facebook
3993.0,119.0,0,4,119.0,USA/Canada/As,LinkedIn
1183.0,119.0,2,1,119.0,Rest_of_the_world,Google
676.0,25.65,2,3,25.65,Rest_of_the_world,YouTube
257.0,119.4,1,8,119.4,West_EU,Other
667.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
5088.0,19.0,2,2,19.0,Rest_of_the_world,Facebook
1035.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
321.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
1783.0,63.63,2,6,63.63,Rest_of_the_world,Instagram
14128.0,23.37,2,1,23.37,Rest_of_the_world,Google
1517.0,78.87,2,4,78.87,Rest_of_the_world,LinkedIn
658.0,62.57,2,8,62.57,Rest_of_the_world,Other
2322.0,64.8,2,4,64.8,Rest_of_the_world,LinkedIn
776.0,146.58,2,7,146.58,Rest_of_the_world,Friend
1068.0,14.25,2,2,14.25,Rest_of_the_world,Facebook
1162.0,265.04,2,1,265.04,Rest_of_the_world,Google
431.0,62.58,2,4,62.58,Rest_of_the_world,LinkedIn
